rank,etf_code,etf_name,n_stocks,n_covered,coverage,rev_growth_2026,rev_growth_2027,rev_growth_2028,op_growth_2026,op_growth_2027,op_growth_2028,fwd_per,fwd_pbr,fwd_roe,composite_score
78,375770,KODEX 탄소효율그린뉴딜,409,312,95.6,86.84,23.16,7.85,360.22,29.75,13.37,51.51,1.96,16.93,40.65
79,363580,KODEX 200IT TR,15,13,96.2,71.78,23.33,16.71,310.81,27.36,10.21,28.8,1.44,23.24,40.64
80,305720,KODEX 2차전지산업,26,18,90.2,17.09,25.75,16.8,87.2,215.4,55.97,162.44,5.54,-6.07,40.53
81,475720,RISE 200위클리커버드콜,194,171,96.8,95.34,23.74,7.43,333.82,29.74,8.04,43.13,1.7,19.26,40.5
82,367760,RISE 네트워크인프라,23,16,97.5,89.06,24.77,9.06,270.04,38.39,15.6,31.8,2.12,17.94,40.47
83,495060,TIME 코리아밸류업액티브,34,30,95.6,99.16,26.35,8.9,278.91,26.49,6.16,20.36,1.38,24.56,40.41
84,0093A0,RISE AI반도체TOP10,11,9,88.7,99.13,34.88,8.67,309.42,37.05,8.15,44.07,2.17,18.64,40.41
85,290130,RISE ESG사회책임투자,124,98,99.3,111.96,26.82,8.97,384.78,29.14,6.48,64.95,1.54,22.94,40.37
86,325010,KODEX 성장주,283,208,95.3,113.91,28.61,8.52,358.02,33.87,15.5,65.9,2.6,24.24,40.29
87,292150,TIGER 코리아TOP10,11,10,99.7,117.99,23.99,4.83,318.46,25.4,6.34,38.22,1.44,21.39,40.27
88,494330,ACE 라이프자산주주가치액티브,29,25,95.0,53.69,15.75,14.64,294.61,17.91,7.31,22.04,1.0,15.31,40.26
89,457990,PLUS 태양광&ESS,10,9,94.7,25.58,11.74,11.64,265.53,40.81,30.69,45.01,1.66,5.0,40.26
90,495230,KoAct 코리아밸류업액티브,83,76,98.3,91.74,23.72,7.84,287.75,23.48,5.65,24.43,1.57,21.63,40.26
91,292190,KODEX KRX300,296,250,97.1,94.78,24.35,7.57,344.74,28.1,12.59,54.49,2.01,18.73,40.25
92,365040,TIGER AI코리아그로스액티브,175,144,96.4,85.18,21.37,7.62,336.35,27.12,8.18,55.26,1.62,18.23,40.0
93,403790,MIDAS 코스피액티브,321,194,89.1,87.85,22.27,6.53,305.68,27.44,7.16,44.08,1.49,17.26,39.97
94,228800,TIGER 여행레저,17,11,73.6,9.39,,,226.32,,,17.16,3.58,-11.23,39.95
95,277640,TIGER 코스피대형주,101,93,98.0,90.19,22.21,7.71,312.85,29.37,8.52,51.26,1.81,18.75,39.91
96,337140,KODEX 코스피대형주,100,93,98.3,90.1,22.2,7.75,312.59,29.45,8.58,51.43,1.81,18.75,39.9
97,385720,TIME 코스피액티브,28,27,99.4,84.93,24.63,9.3,277.04,29.46,13.0,41.59,2.12,16.88,39.83
98,364960,TIGER BBIG,12,12,100.0,28.42,30.25,9.67,278.46,27.86,10.62,42.51,5.05,8.0,39.72
99,385590,ACE ESG액티브,26,25,97.1,67.52,18.99,12.38,255.93,32.07,12.69,41.18,1.45,17.24,39.65
100,138520,TIGER 삼성그룹,17,15,99.5,41.3,10.66,8.69,246.04,18.77,11.78,23.09,1.36,7.76,39.65
101,102780,KODEX 삼성그룹,17,15,98.9,42.63,11.76,9.91,248.07,20.74,13.2,27.13,1.63,8.43,39.63
102,476850,KoAct 배당성장액티브,79,69,91.3,85.17,22.12,6.9,281.79,27.0,8.33,48.28,1.62,19.63,39.49
103,157490,TIGER 소프트웨어,25,17,93.6,18.31,9.15,7.44,276.32,17.06,8.38,36.2,1.98,9.09,39.48
104,441800,TIME Korea플러스배당액티브,35,31,91.7,93.09,24.15,4.53,221.09,21.25,5.82,18.75,1.07,19.01,39.46
